id_municipio,nome_municipio,sigla_uf,bioma_predominante,n_focos,risco_fogo_medio,frp_medio,dias_sem_chuva_medio,precipitacao_media,centroide_lat,centroide_lon
5103254,Colniza,MT,Amazônia,42141,0.8151,67.237,7.64,0.653,-9.160572,-60.207402
2106706,Mirador,MA,Cerrado,38521,0.9677,39.615,17.22,0.149,-6.426128,-44.876085
1716208,Paranã,TO,Cerrado,33659,0.8827,25.571,34.94,0.279,-12.787208,-47.907596
2101400,Balsas,MA,Cerrado,30721,0.9504,38.887,19.11,0.269,-8.260447,-46.344200
1300144,Apuí,AM,Amazônia,27220,0.5772,85.936,6.57,0.755,-7.047017,-59.616223
2100501,Alto Parnaíba,MA,Cerrado,26362,0.9898,44.195,62.71,0.132,-9.536113,-46.158567
1711902,Lagoa da Confusão,TO,Cerrado,24354,0.8794,44.336,53.09,0.183,-11.067311,-50.206263
2211209,Uruçuí,PI,Cerrado,24025,0.9633,30.357,26.13,0.176,-7.655190,-44.591364
2911105,Formosa do Rio Preto,BA,Cerrado,23656,0.9558,51.410,49.28,0.171,-11.087319,-45.662406
2928901,São Desidério,BA,Cerrado,23548,0.9341,56.471,26.58,0.125,-12.760122,-45.204995
1702406,Arraias,TO,Cerrado,22468,0.9283,28.044,25.24,0.266,-12.809580,-47.048484
1708205,Formoso do Araguaia,TO,Cerrado,21688,0.9178,47.935,45.82,0.408,-12.042052,-50.263358
2902708,Barra,BA,Cerrado,21651,0.9845,67.149,94.46,0.072,-11.318136,-43.528657
2101608,Barra do Corda,MA,Cerrado,21339,0.8136,55.863,16.64,0.097,-5.573736,-45.221779
2104800,Grajaú,MA,Cerrado,20810,0.8603,45.348,17.07,0.213,-5.881957,-45.887270
2926202,Riachão das Neves,BA,Cerrado,20067,0.9788,41.368,44.06,0.048,-11.636879,-45.014981
1100205,Porto Velho,RO,Amazônia,19757,0.7477,42.086,6.68,0.775,-9.062020,-63.836515
1302405,Lábrea,AM,Amazônia,19739,0.6802,57.934,5.48,0.541,-9.031525,-65.874834
1712702,Mateiros,TO,Cerrado,19216,0.9508,43.553,46.85,0.159,-10.603496,-46.595176
5108907,Nova Maringá,MT,Amazônia,18383,0.7817,63.714,34.33,0.187,-12.823875,-57.044834
5107859,São Félix do Araguaia,MT,Amazônia,18329,0.8279,76.807,44.59,0.700,-11.586429,-51.764436
2203909,Floriano,PI,Caatinga,18191,0.9646,48.177,18.57,0.151,-7.063007,-43.057128
5205307,Cavalcante,GO,Cerrado,17597,0.8693,19.215,9.01,0.369,-13.533395,-47.758729
1507300,São Félix do Xingu,PA,Amazônia,17548,0.6401,27.856,5.95,1.026,-6.638451,-52.216793
1500602,Altamira,PA,Amazônia,17436,0.6120,40.261,12.00,1.257,-6.966261,-53.986268
5101407,Aripuanã,MT,Amazônia,17301,0.7842,61.413,12.01,0.932,-9.800292,-60.151595
5214606,Niquelândia,GO,Cerrado,17243,0.9026,18.756,14.90,0.204,-14.600874,-48.301550
2908101,Cocos,BA,Cerrado,17181,0.9757,59.109,46.45,0.124,-14.453198,-45.111594
5003207,Corumbá,MS,Pantanal,17045,0.7791,46.344,3.78,1.309,-18.784930,-57.346404
2201150,Baixa Grande do Ribeiro,PI,Cerrado,16879,0.9475,48.493,19.26,0.311,-8.473260,-45.142555
2202307,Canto do Buriti,PI,Caatinga,16842,0.7387,83.163,26.85,0.917,-8.167939,-43.225366
2103000,Caxias,MA,Cerrado,15123,0.8746,53.495,9.66,0.317,-4.867006,-43.251379
5106240,Nova Ubiratã,MT,Amazônia,15055,0.8270,77.805,25.41,0.446,-12.877472,-54.691508
1303304,Novo Aripuanã,AM,Amazônia,14701,0.6100,61.014,5.41,0.860,-6.567019,-60.396637
1712405,Lizarda,TO,Cerrado,14665,0.9588,37.042,31.07,0.140,-9.501480,-46.954222
1717503,Pium,TO,Cerrado,14651,0.8909,48.711,24.58,0.308,-10.297269,-50.112214
5213509,Monte Alegre de Goiás,GO,Cerrado,14362,0.9827,22.395,38.66,0.061,-13.384114,-47.006602
2101806,Benedito Leite,MA,Cerrado,14171,0.9274,34.666,20.04,0.150,-7.103243,-44.537775
1717909,Ponte Alta do Tocantins,TO,Cerrado,13970,0.9290,44.742,52.53,0.231,-10.761755,-47.271615
2104081,Fernando Falcão,MA,Cerrado,13710,0.9489,33.404,16.41,0.148,-6.192391,-45.296010
2917359,Jaborandi,BA,Cerrado,13685,0.9198,55.952,39.18,0.163,-14.094755,-45.487692
5106307,Paranatinga,MT,Cerrado,13548,0.7276,50.493,16.82,0.540,-13.542324,-54.184557
1709005,Goiatins,TO,Cerrado,13456,0.9526,22.787,19.70,0.147,-8.149660,-47.437744
2928406,Santa Rita de Cássia,BA,Cerrado,13331,0.8820,51.893,57.38,0.267,-10.938776,-44.544547
2209203,Santa Filomena,PI,Cerrado,13278,0.9865,41.494,32.13,0.082,-8.962590,-45.678909
1505809,Portel,PA,Amazônia,13246,0.5013,25.589,4.00,1.141,-2.847949,-50.705810
1504703,Moju,PA,Amazônia,12517,0.4395,34.137,4.85,1.377,-2.833694,-49.230641
1505486,Pacajá,PA,Amazônia,12391,0.6288,29.447,4.01,1.192,-3.581567,-50.465973
2105922,Lagoa do Mato,MA,Cerrado,12293,0.9772,45.572,16.49,0.107,-6.102203,-43.434532
1505106,Óbidos,PA,Amazônia,12266,0.6654,24.117,6.64,0.712,0.543307,-55.637259
2208908,Ribeiro Gonçalves,PI,Cerrado,12140,0.9476,34.113,16.85,0.173,-7.880580,-45.331869
2210631,Sebastião Leal,PI,Cerrado,11823,0.9837,51.965,41.28,0.103,-7.802166,-44.104970
5103106,Cocalinho,MT,Cerrado,11796,0.8326,58.673,9.89,0.957,-13.606113,-51.079985
5105580,Marcelândia,MT,Amazônia,11736,0.4276,45.131,26.95,0.665,-10.954095,-54.015837
2109502,Riachão,MA,Cerrado,11039,0.8817,32.172,12.99,0.475,-7.664218,-46.657860
2909406,Cotegipe,BA,Cerrado,10899,0.9813,53.316,14.00,0.128,-11.645286,-44.294927
1718758,Rio Sono,TO,Cerrado,10839,0.8886,31.720,28.08,0.562,-9.655566,-47.585867
1302702,Manicoré,AM,Amazônia,10821,0.6396,57.271,6.24,0.875,-7.601461,-61.543460
2110807,São Félix de Balsas,MA,Cerrado,10609,0.9451,24.034,22.86,0.309,-7.081411,-44.878146
2102804,Carolina,MA,Cerrado,10556,0.8663,32.226,10.45,0.294,-7.467864,-47.134603
5102603,Campinápolis,MT,Cerrado,10225,0.9722,31.719,19.49,0.205,-14.387971,-53.163615
5101803,Barra do Garças,MT,Cerrado,10200,0.9113,28.065,45.33,0.288,-15.425519,-52.558437
2102309,Buriti Bravo,MA,Cerrado,10107,0.9655,48.704,15.29,0.164,-5.778020,-43.828511
2100303,Aldeias Altas,MA,Cerrado,9894,0.9157,77.362,10.79,0.305,-4.489086,-43.345695
2103505,Colinas,MA,Cerrado,9779,0.9551,34.391,14.05,0.196,-6.079850,-44.156753
2106102,Loreto,MA,Cerrado,9748,0.9174,25.195,17.43,0.181,-7.238575,-45.241763
2107803,Parnarama,MA,Cerrado,9654,0.9269,44.099,10.96,0.240,-5.676702,-43.438901
1714203,Natividade,TO,Cerrado,9240,0.8437,31.286,38.24,0.433,-11.778159,-47.599518
1503754,Jacareacanga,PA,Amazônia,9153,0.4066,62.923,3.55,1.316,-6.401866,-57.746887
1506187,Rondon do Pará,PA,Amazônia,9095,0.6545,28.960,9.54,0.587,-4.423551,-48.341637
1301704,Humaitá,AM,Amazônia,9019,0.6137,50.147,6.93,0.662,-7.483047,-62.973726
5106174,Nova Nazaré,MT,Cerrado,9007,0.9690,55.711,49.90,0.098,-14.385311,-51.996085
1505502,Paragominas,PA,Amazônia,8894,0.6661,37.031,9.65,1.027,-3.180542,-47.338108
1302900,Maués,AM,Amazônia,8857,0.4696,112.745,12.90,1.173,-6.048558,-58.528102
1300904,Canutama,AM,Amazônia,8731,0.6533,47.293,8.10,0.477,-7.816152,-63.831651
1503606,Itaituba,PA,Amazônia,8394,0.5165,47.626,5.37,1.807,-6.060312,-56.232772
5105309,Luciara,MT,Cerrado,8338,0.8805,60.385,50.12,0.369,-10.994385,-50.942774
1721109,Tocantínia,TO,Cerrado,8240,0.9475,31.699,48.22,0.161,-9.581893,-48.144641
2110906,São Francisco do Maranhão,MA,Cerrado,8107,0.9927,34.967,20.46,0.049,-6.224702,-43.147239
1506583,Santa Maria das Barreiras,PA,Amazônia,8075,0.7820,31.974,17.87,0.963,-8.727369,-50.117962
